number;word;detail_url;definition
1;а;/term?tid=129455;"   Ⅰсоюз1) противит. а, но   мон сое утчасько, а со ми дорын вылэм я его ищу, а он, оказывается, у нас был   мынэсьтым ӧз юалэ, а мон ваньзэ верасал меня не спросили, а я бы всё рассказал2) сопост. а   со толон бертэм, а ми туннэ гинэ возьмаськом вал он приехал вчера, а мы ждали (его) только сегодня3) присоед. а   пияш нюлэсэз адӟе, а паллянысьгес – пичи гуртэз юноша видит лес, а левее – маленькую деревушку◊ а то а то, иначе, в противном случае   дыртэлэ, а то бере кылёды поторапливайтесь, а то опоздаете   ӝоггес сюрес вылэ вуоно вал, а то уйин йыромыны но кема ӧвӧл скорее бы добраться до дороги, иначе ночью недолго и заблудиться   Ⅱчастица1) вопр.а) препоз. а   а тон кытын вал? а ты где был?б) постпоз. ли   айидлэсь юаськид-а? отпросился ли ты у отца?   ӧвӧл-а, мар-а? нет, что ли?   ӧз-а вуылы? не приходил ли он?2) усил. а   а ма карод! а что поделаешь!   озьы-а ма! а, вот как!◊ вань-а, ӧвӧл-а? 1) то ли есть, то ли нет? 2) жив или нет? то ли жив, то ли нет?"
2;а-а-а;/term?tid=129456;"   Ⅰчастица вопр. и воскл. а, а-а-а   а-а-а, вот кызьы! а-а-а, вот как!   ма верад, а-а-а? что ты сказал, а?   Ⅱмежд. а, а-а-а; ага   а-а-а, табере уд мозмы ни! ага, теперь уже не вырвешься!"
3;аба;/term?tid=129457;"диал. смотри:  аби Ⅰ 1"
4;абага;/term?tid=129458;"бот.1) таволга; лабазник2) папоротник || папоротниковый"
5;абагыкуар;/term?tid=129459;"смотри:  абага 2"
6;абажур;/term?tid=129460;абажур
7;абаз;/term?tid=129461;"диал. мучение, сильные муки, страдание   мон соин трос абаз адӟи я с ним много мучений видел"
8;абак;/term?tid=129462;"диал. пятнашки; ляпки обл. (детская игра)   абакен шудон игра в пятнашки; смотри также:  ляпа Ⅰ"
9;абалгы;/term?tid=129463;"абалгы, абалгытурынбот. папоротник || папоротниковый   абалгы выжы папоротниковый корень"
10;абалгытурын;/term?tid=129464;"абалгы, абалгытурынбот. папоротник || папоротниковый   абалгытурын выжы папоротниковый корень"
11;абач;/term?tid=129465;"диал. шутл. стряпуха, жена; старушка"
12;абба;/term?tid=129466;"аббаупотребляется лишь в составе выражений:абба карыны диал. дет. целовать, поцеловать"
13;аббревиатура;/term?tid=129467;аббревиатура
14;абгитурын;/term?tid=129468;"бот. таволга; лабазник"
15;абда;/term?tid=129469;"абда, абдандиал.1) урод, уродство2) косматый, безобразный; жалкий3) обезьяна"
16;абдан;/term?tid=129470;"абда, абдандиал.1) урод, уродство2) косматый, безобразный; жалкий3) обезьяна"
17;абдраллян;/term?tid=129471;"удивление, изумление, восхищение"
18;абдралляны;/term?tid=129472;"многокр. удивляться, изумляться, поражаться, восхищаться, приходить в изумление (восхищение)"
19;абдраллятон;/term?tid=129473;"сущ. от  абдраллятыны"
20;абдраллятыны;/term?tid=129474;"многокр. удивлять, изумлять, поражать, восхищать, приводить в изумление (восхищение)"
21;абдрам;/term?tid=129475;"удивлённый, изумлённый, восхищённый || удивление, изумление, восхищение   абдрам мурт изумлённый человек   абдрамдэ возьматыны показать своё удивление"
22;абдрамон;/term?tid=129476;"удивительный, изумительный, поразительный, восхитительный, достойный удивления (изумления), дивный || удивительно, изумительно, поразительно, восхитительно, дивно || диковина, диковинка   абдрамон маке диво дивное   абдрамон учыр удивительный случай   туж абдрамон крайне удивительно"
23;абдран;/term?tid=129477;"1) удивление, изумление, восхищение2) диковина, диво"
24;абдраны;/term?tid=129478;"удивиться, удивляться, изумиться, изумляться, поразиться, поражаться кому-либо, чему-либо; прийти (приходить) в изумление от чего-либо; восхититься, восхищаться кем-либо, чем-либо   учкисько шорад но чылкак абдрасько смотрю на тебя и диву даюсь"
